true_counts,estimates,absolute_error,normalized_error,relative_error
183,162,21,3.91430286266016e-05,0.11475409836065574
27,0,27,5.0326751091344914e-05,1.0
1750,1269,481,0.0008965617509235891,0.27485714285714286
2250,1969,281,0.0005237710020988119,0.12488888888888888
858,795,63,0.0001174290858798048,0.07342657342657342
240,387,147,0.0002740012003862112,0.6125
639,254,385,0.000717622191487696,0.6025039123630673
1373,923,450,0.0008387791848557487,0.3277494537509104
614,693,79,0.00014725234578578697,0.12866449511400652
2707,677,2030,0.0037838261005714883,0.749907646841522
1294,1081,213,0.00039702214749838766,0.16460587326120557
363,947,584,0.0010885489865683493,1.6088154269972452
2070,3587,1517,0.002827617829835935,0.7328502415458937
549,1352,803,0.0014967548565314804,1.4626593806921675
776,724,52,9.692559469444206e-05,0.06701030927835051
63,156,93,0.00017334769820352139,1.4761904761904763
937,1475,538,0.0010028071143386506,0.5741728922091782
2218,3408,1190,0.0022181049555074243,0.5365193868349865
38866,37300,1566,0.0029189515632980054,0.04029228631708949
410,0,410,0.0007642210350907932,1.0
1182,0,1182,0.0022031933255544332,1.0
838,803,35,6.5238381044336e-05,0.041766109785202864
180,0,180,0.00033551167394229946,1.0
132,792,660,0.0012302094711217646,5.0
647,713,66,0.00012302094711217647,0.10200927357032458
677,0,677,0.0012618966847718707,1.0
27,2121,2094,0.003903119140195417,77.55555555555556
368,0,368,0.00068593497783759,1.0
1347,2869,1522,0.002836937598556554,1.1299183370452859
1317,502,815,0.001519122301460967,0.618830675778284
1287,1095,192,0.0003578791188717861,0.14918414918414918
1112,134,978,0.0018229467617531603,0.8794964028776978
2979,2205,774,0.0014427001979518876,0.2598187311178248
2102,2268,166,0.000309416321524565,0.07897240723120837
775,1445,670,0.0012488490085630034,0.864516129032258
804,839,35,6.5238381044336e-05,0.043532338308457715
1281,2807,1526,0.0028443934135330496,1.1912568306010929
469,0,469,0.0008741943059941025,1.0
506,752,246,0.0004585326210544759,0.48616600790513836
1483,349,1134,0.0021137235458364863,0.7646662171274443
1557,1629,72,0.00013420466957691978,0.046242774566473986
1742,679,1063,0.0019813828300036906,0.6102181400688863
1262,2389,1127,0.0021006758696276192,0.893026941362916
86,474,388,0.0007232140527200677,4.511627906976744
772,0,772,0.0014389722904636399,1.0
133,0,133,0.00024790584796847683,1.0
1282,657,625,0.0011649710900774287,0.4875195007800312
1302,1266,36,6.710233478845989e-05,0.027649769585253458
0,0,0,0.0,
145,197,52,9.692559469444206e-05,0.3586206896551724
1565,1205,360,0.0006710233478845989,0.23003194888178913
2055,1617,438,0.000816411739926262,0.21313868613138687
272,1498,1226,0.002285207290295884,4.507352941176471
16835,16413,422,0.0007865884800202798,0.025066825066825067
389,1945,1556,0.0029003120258567663,4.0
1226,891,335,0.0006244245042815017,0.2732463295269168
993,0,993,0.0018509060679150187,1.0
1575,1135,440,0.0008201396474145098,0.27936507936507937
509,0,509,0.0009487524557590579,1.0
532,0,532,0.0009916233918739073,1.0
259,54,205,0.0003821105175453966,0.7915057915057915
387,0,387,0.0007213500989759438,1.0
1732,2996,1264,0.0023560375325725916,0.7297921478060047
746,1438,692,0.001289855990933729,0.9276139410187667
1234,786,448,0.0008350512773675009,0.36304700162074555
1234,1791,557,0.0010382222354770043,0.4513776337115073
1586,1703,117,0.00021808258806249465,0.07377049180327869
2166,2249,83,0.0001547081607622825,0.03831948291782087
26892,26269,623,0.001161243182589181,0.02316674103822698
14019,14004,15,2.7959306161858287e-05,0.0010699764605178687
1721,230,1491,0.0027791550324887137,0.8663567693201627
1,0,1,1.8639537441238858e-06,1.0
1115,160,955,0.0017800758256383109,0.8565022421524664
254,454,200,0.00037279074882477716,0.7874015748031497
2628,3574,946,0.001763300241941196,0.3599695585996956
415,2114,1699,0.003166857411266482,4.093975903614457
488,1614,1126,0.0020988119158834953,2.307377049180328
505,1009,504,0.0009394326870384384,0.998019801980198
1526,1786,260,0.0004846279734722103,0.17038007863695936
2469,2714,245,0.000456668667310352,0.09923045767517213
151,0,151,0.00028145701536270675,1.0
1395,151,1244,0.002318758457690114,0.8917562724014337
992,354,638,0.001189202488751039,0.6431451612903226
385,368,17,3.168721365010606e-05,0.04415584415584416
0,861,861,0.0016048641736906657,inf
481,1102,621,0.0011575152751009332,1.291060291060291
17148,15149,1999,0.0037260435345036476,0.11657336132493586
1,1276,1275,0.0023765410237579546,1275.0
18360,18185,175,0.00032619190522168004,0.009531590413943355
1126,2426,1300,0.0024231398673610514,1.1545293072824157
28,1066,1038,0.0019347839864005934,37.07142857142857
232,0,232,0.0004324372686367415,1.0
1492,667,825,0.0015377618389022059,0.5529490616621984
23005,25186,2181,0.004065283115934195,0.09480547707020213
0,0,0,0.0,
1844,1070,774,0.0014427001979518876,0.4197396963123644
873,2853,1980,0.003690628413365294,2.268041237113402
996,2425,1429,0.0026635899003530326,1.4347389558232932
623,1002,379,0.0007064384690229527,0.608346709470305
2159,1470,689,0.0012842641297013573,0.3191292264937471
