true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
183,188,1,2422,73,19,1,53,0,0,5,9.226641373367115e-06,0.0273224043715847
27,33,1,4440,31,6,25,0,0,0,6,1.1071969648040537e-05,0.2222222222222222
1750,1873,1,3094,669,355,162,152,0,0,123,0.00022697537778483103,0.07028571428571428
2270,2302,1,2852,381,130,26,225,0,0,32,5.9050504789549535e-05,0.014096916299559472
863,921,1,4576,439,86,353,0,0,0,58,0.00010702903993105854,0.06720741599073002
240,282,38,2254,262,108,102,52,0,0,42,7.750378753628376e-05,0.175
639,664,38,2400,209,57,7,145,0,0,25,4.613320686683558e-05,0.03912363067292645
1380,1415,1,2566,305,89,15,201,0,0,35,6.45864896135698e-05,0.025362318840579712
614,660,1,3079,342,168,96,78,0,0,46,8.488510063497745e-05,0.0749185667752443
2721,2799,1,2803,438,189,0,249,0,0,78,0.000143935605424527,0.02866593164277839
1294,1300,1,290,107,0,32,35,40,0,6,1.1071969648040537e-05,0.00463678516228748
363,418,38,3024,336,124,107,105,0,0,55,0.00010149305510703826,0.15151515151515152
2092,2228,1,4493,911,182,729,0,0,0,136,0.00025096464535558555,0.06500956022944551
549,579,1,2932,308,62,176,70,0,0,30,5.535984824020269e-05,0.0546448087431694
776,790,38,566,249,0,19,230,0,0,14,2.5834595845427923e-05,0.01804123711340206
63,75,1,4393,60,11,49,0,0,0,12,2.2143939296081075e-05,0.19047619047619047
941,980,1,2422,303,152,16,135,0,0,39,7.19678027122635e-05,0.04144527098831031
2224,2323,1,4618,641,129,512,0,0,0,99,0.00018268749919266887,0.044514388489208634
38866,41247,125,3102,14736,7452,3454,3830,0,0,2381,0.00439372662199742,0.061261771213914476
417,509,38,4280,472,137,335,0,0,0,92,0.0001697702012699549,0.22062350119904076
1199,1302,1,4394,571,84,487,0,0,0,103,0.00019006881229136256,0.08590492076730609
838,874,1,1885,343,20,189,134,0,0,36,6.643181788824323e-05,0.04295942720763723
180,217,38,3047,195,101,45,49,0,0,37,6.827714616291665e-05,0.20555555555555555
132,161,38,3233,168,114,44,10,0,0,29,5.351451996552927e-05,0.2196969696969697
647,650,38,304,112,0,21,26,65,0,3,5.535984824020269e-06,0.00463678516228748
677,704,1,1579,313,0,174,139,0,0,27,4.982386341618242e-05,0.03988183161004431
27,33,38,2408,28,16,0,12,0,0,6,1.1071969648040537e-05,0.2222222222222222
377,403,1,4400,169,25,144,0,0,0,26,4.7978535141509e-05,0.06896551724137931
1350,1431,1,4403,444,54,390,0,0,0,81,0.00014947159024854726,0.06
1317,1418,38,3277,580,356,124,100,0,0,101,0.00018637815574201573,0.07668944570994685
1288,1306,1,2582,207,60,0,147,0,0,18,3.3215908944121615e-05,0.013975155279503106
1133,1195,1,2471,396,229,0,167,0,0,62,0.00011441035302975222,0.05472197705207414
2979,3126,1,3233,676,457,143,76,0,0,147,0.0002712632563769932,0.04934541792547835
2102,2299,38,3588,1026,598,428,0,0,0,197,0.00036352967011066435,0.09372026641294005
776,837,1,4429,353,54,299,0,0,0,61,0.00011256502475507881,0.07860824742268041
805,831,1,2735,214,76,0,138,0,0,26,4.7978535141509e-05,0.03229813664596273
1281,1300,1,568,281,0,25,256,0,0,19,3.506123721879504e-05,0.01483216237314598
481,522,1,2572,251,111,12,128,0,0,41,7.565845926161035e-05,0.08523908523908524
506,536,38,1809,322,23,170,129,0,0,30,5.535984824020269e-05,0.05928853754940711
1496,1584,1,4418,645,60,585,0,0,0,88,0.00016238888817126122,0.058823529411764705
1565,1658,38,4299,615,100,515,0,0,0,93,0.00017161552954462835,0.05942492012779553
1747,1781,38,2654,421,111,13,297,0,0,34,6.274116133889639e-05,0.019461934745277618
1265,1354,1,4270,437,70,367,0,0,0,89,0.00016423421644593466,0.07035573122529644
87,95,1,4523,78,12,66,0,0,0,8,1.4762626197387384e-05,0.09195402298850575
772,869,1,2955,416,295,29,92,0,0,97,0.00017899684264332204,0.12564766839378239
133,166,38,2968,200,147,27,26,0,0,33,6.089583306422296e-05,0.24812030075187969
1282,1358,1,2483,611,101,510,0,0,0,76,0.00014024494887518015,0.059282371294851796
1302,1394,1,2999,578,272,166,140,0,0,92,0.0001697702012699549,0.0706605222734255
0,0,1,2511,5,1,0,4,0,0,0,0.0,
145,158,1,2408,116,45,5,66,0,0,13,2.39892675707545e-05,0.0896551724137931
1571,1599,1,2717,321,111,18,192,0,0,28,5.1669191690855846e-05,0.01782304264799491
2076,2133,38,2625,467,130,19,318,0,0,57,0.0001051837116563851,0.02745664739884393
272,295,1,2147,149,29,61,59,0,0,23,4.244255031748873e-05,0.08455882352941177
16835,18292,125,2986,9730,3629,2911,3190,0,0,1457,0.0026886432961991773,0.08654588654588655
398,429,1,4361,183,40,143,0,0,0,31,5.720517651487611e-05,0.07788944723618091
1227,1306,38,4535,523,83,440,0,0,0,79,0.00014578093369920042,0.06438467807660962
993,1059,38,1765,504,20,329,155,0,0,66,0.00012179166612844591,0.06646525679758308
