true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
183,84.0,1,1,16470,2222,2222,81,24,1,56,0,0,0,99.0,0.0001845314206682647,0.5409836065573771,18774
27,-18.0,1,1,24198,3934,3934,24,4,20,0,0,0,0,45.0,8.387791848557487e-05,1.6666666666666667,28157
1750,718.0,1,1,9386,3094,3094,669,354,163,152,0,0,0,1032.0,0.00192360026393585,0.5897142857142857,13150
2250,1696.0,1,1,18150,2484,2484,364,127,26,211,0,0,0,554.0,0.0010326303742446328,0.24622222222222223,20999
858,175.0,1,1,24198,4105,4105,437,86,351,0,0,0,0,683.0,0.001273080407236614,0.796037296037296,28741
240,-172.0,38,25,3156,2254,56350,240,96,93,51,0,0,0,412.0,0.0007679489425790409,1.7166666666666666,59784
639,343.0,38,21,16470,2041,42861,202,52,6,144,0,0,0,296.0,0.0005517303082606702,0.46322378716744916,59571
1373,878.0,1,1,16470,2185,2185,294,86,14,194,0,0,0,495.0,0.0009226571033413235,0.3605243991260015,18950
614,89.0,1,1,9386,3079,3079,343,168,97,78,0,0,0,525.0,0.00097857571566504,0.8550488599348535,12809
2707,2097.0,1,1,17814,2419,2419,425,187,0,238,0,0,0,610.0,0.0011370117839155703,0.2253417066863687,20659
1294,1085.0,1,1,376,290,290,107,0,32,35,40,0,0,209.0,0.0003895663325218921,0.1615146831530139,774
363,-202.0,38,24,9386,3024,72576,345,123,115,107,0,0,0,565.0,0.0010531338654299954,1.556473829201102,82345
2070,901.0,1,1,24198,4072,4072,886,181,705,0,0,0,0,1169.0,0.0021789619268808226,0.5647342995169082,29157
549,142.0,1,1,10008,2932,2932,309,64,175,70,0,0,0,407.0,0.0007586291738584215,0.7413479052823315,13250
776,350.0,38,21,754,566,11886,252,0,17,235,0,0,0,426.0,0.0007940442949967753,0.5489690721649485,12930
63,-28.0,1,1,24198,3994,3994,59,10,49,0,0,0,0,91.0,0.00016961979071527362,1.4444444444444444,28252
937,508.0,1,1,16470,2222,2222,302,155,15,132,0,0,0,429.0,0.000799636156229147,0.4578441835645678,18995
2218,1237.0,1,1,24198,4142,4142,634,127,507,0,0,0,0,981.0,0.001828538622985532,0.44229035166816955,28975
38866,17113.0,125,123,5284,3102,381546,14742,7462,3452,3828,0,0,0,21753.0,0.04054658579592689,0.5596922760253178,401697
410,-314.0,38,28,22854,3879,108612,460,133,327,0,0,0,0,724.0,0.0013495025107456934,1.7658536585365854,131964
1182,386.0,1,1,22854,3967,3967,554,80,474,0,0,0,0,796.0,0.001483707180322613,0.6734348561759729,27376
838,302.0,1,1,3191,1885,1885,342,21,187,134,0,0,0,536.0,0.0009990792068504028,0.639618138424821,5419
180,-72.0,38,22,9386,3047,67034,193,112,31,50,0,0,0,252.0,0.0004697163435192192,1.4,76651
132,-62.0,38,16,5284,3233,51728,146,97,40,9,0,0,0,194.0,0.00036160702636003385,1.4696969696969697,57196
