true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,relative_error
122074,122710,125,947,15630,534,2000,3147,9949,0,636,0.001173628782692297
7023,3082,1,3363,690,105,313,120,152,0,3941,0.00727243873048796
2774,1119,1,2280,275,0,79,110,86,0,1655,0.003054018294584515
455,174,1,2448,98,0,19,33,46,0,281,0.0005185372451832319
4794,3349,1,3705,606,77,282,74,124,49,1445,0.002666499356903096
5431,3770,1,3364,467,62,163,73,132,37,1661,0.0030650902642325555
6262,6588,1,17493,2598,432,2166,0,0,0,326,0.0006015770175435359
123604,91059,125,4200,19980,3182,5766,6594,2738,1700,32545,0.06005620869924655
119674,126140,125,6594,58313,496,39307,18510,0,0,6466,0.011931892624038353
378,258,1,3934,105,13,23,30,28,11,120,0.00022143939296081076
7027,5282,1,3932,817,212,292,108,150,55,1745,0.003220097839305123
49453,23465,4750,2258,14068,0,3994,4112,5962,0,25988,0.04795639120221292
6564,2815,1,2321,484,72,95,184,133,0,3749,0.0069181357017506625
6013,4164,1,2497,568,0,202,184,138,44,1849,0.003412011979871159
9915,10105,1,9511,1637,580,0,1057,0,0,190,0.00035061237218795036
1192,1305,1,17493,818,117,701,0,0,0,113,0.0002085220950380968
2167,2106,125,3364,1557,93,347,68,854,195,61,0.00011256502475507881
10270,10548,1,9798,1769,789,0,980,0,0,278,0.0005130012603592116
9369,9892,1,12449,3000,1519,952,529,0,0,523,0.0009651066876542003
124981,52367,125,2457,14014,0,4372,5168,4474,0,72614,0.13399666733713594
2633,993,1,3081,328,58,104,64,102,0,1640,0.003026338370464414
3651,1321,1,2258,279,0,67,117,95,0,2330,0.004299614879989076
3802,2694,1,4443,554,60,181,172,127,14,1108,0.0020446237283381526
6828,5021,1,2595,542,37,87,213,150,55,1807,0.0033345081923348754
114847,123662,125,12126,60437,22712,19215,18510,0,0,8815,0.016266568741246223
1996,795,1,2094,211,0,71,66,74,0,1201,0.002216239257882781
218046,232235,125,16881,91692,12775,78917,0,0,0,14189,0.0261833628893412
2842,2078,1,2425,319,0,76,122,93,28,764,0.0014098308018504952
83957,57331,4750,3364,17403,2277,5728,2323,4896,2179,26626,0.04913371064145456
1043,780,1,2710,234,0,57,84,65,28,263,0.00048532133623911027
124895,86522,125,2483,14113,0,3209,4702,4533,1669,38373,0.07081078188404326
2443,1859,1,3118,348,63,43,118,92,32,584,0.001077671712409279
4836,3243,1,3794,525,47,167,180,113,18,1593,0.002939607941554763
11409,11625,1,9511,1698,658,0,1040,0,0,216,0.0003985909073294594
6570,6765,1,6222,1807,26,1171,610,0,0,195,0.00035983901356131747
1542,557,1,2813,205,22,26,85,72,0,985,0.0018176483505533217
2997,3136,1,6222,1272,14,806,452,0,0,139,0.0002565006301796058
220209,234885,125,17493,94048,15131,78917,0,0,0,14676,0.027082037759107155
218046,232235,125,16881,91692,12775,78917,0,0,0,14189,0.0261833628893412
50189,38584,4750,3428,18311,2502,5033,2360,6208,2208,11605,0.021415034627585074
3049,2252,1,2632,356,0,114,115,97,30,797,0.0014707266349147181
9927,10388,1,16881,3236,569,2667,0,0,0,461,0.000850696334624448
122908,90268,125,3932,17839,3714,5153,2697,4575,1700,32640,0.06023151488534053
6829,2763,1,2541,599,0,241,189,169,0,4066,0.007503104764822138
5046,5334,1,12103,1775,823,504,448,0,0,288,0.0005314545431059458
4752,4959,1,6594,1867,18,1308,541,0,0,207,0.00038198295285739856
4838,5090,1,11130,1718,653,617,448,0,0,252,0.0004650227252177026
120095,47601,125,2957,13756,2339,1723,5254,4440,0,72494,0.13377522794417512
5740,6110,1,11130,2103,1105,388,610,0,0,370,0.0006827714616291665
5163,5499,1,17493,2284,339,1945,0,0,0,336,0.0006200303002902701
2910,1077,1,3550,326,61,107,56,102,0,1833,0.0033824867274763843
3167,1167,1,2287,295,0,77,113,105,0,2000,0.003690656549346846
5522,3856,1,2627,432,0,126,137,132,37,1666,0.003074316905605923
3848,2578,1,2509,465,0,141,157,123,44,1270,0.002343566908835247
6719,5067,1,4200,915,180,316,271,97,51,1652,0.003048482309760495
135494,145524,125,12103,66378,28207,18673,19498,0,0,10030,0.018508642594974433
124987,48685,125,2382,13157,0,4016,4991,4150,0,76302,0.14080223801413153
122516,43072,125,2218,12132,0,3296,4594,4242,0,79444,0.1466002594531554
2142,2262,1,6594,941,20,605,316,0,0,120,0.00022143939296081076
81200,59994,4750,3932,19652,4684,5608,2259,4947,2154,21206,0.03913203139272461
122039,42650,125,2276,12098,0,3402,4454,4242,0,79389,0.14649876639804837
125805,87578,125,2746,15096,0,4591,4303,4533,1669,38227,0.07054136395594095
79597,84921,4750,6222,47222,573,30359,16290,0,0,5324,0.009824527734361304
120505,44120,125,2309,12187,0,3492,4545,4150,0,76385,0.14095540026092943
124647,86686,125,3282,15272,2979,1788,4303,4533,1669,37961,0.07005050663487782
5085,3369,1,2446,413,0,129,132,110,42,1716,0.003166583319339594
119070,86034,125,3673,18767,1695,4411,6321,5520,820,33036,0.060962264882111206
1805,1943,1,16881,843,85,758,0,0,0,138,0.0002546553019049324
185357,191630,4750,9511,59131,16241,0,42890,0,0,6273,0.011575744267026383
5389,5754,1,11130,2360,712,1045,603,0,0,365,0.0006735448202557994
1996,2159,1,12449,867,460,68,339,0,0,163,0.00030078850877176795
6680,2964,1,2279,560,0,191,192,177,0,3716,0.00685723986868644
495,526,1,12103,278,100,85,93,0,0,31,5.720517651487611e-05
84100,57041,4750,2680,15339,1957,2126,4181,4896,2179,27059,0.049932737784388156
5249,2151,1,2957,394,70,61,150,113,0,3098,0.005716826994938265
124916,91405,125,2632,15131,0,4399,4730,4302,1700,33511,0.06183879581258108
121787,49750,125,3363,15835,2075,6650,2670,4440,0,72037,0.1329319129226494
7304,7338,1,947,453,33,98,132,190,0,34,6.274116133889639e-05
77730,27077,4750,2218,12292,0,3435,4131,4726,0,50653,0.0934714130970329
185357,191630,4750,9511,59131,16241,0,42890,0,0,6273,0.011575744267026383
11445,12025,1,16881,3578,682,2896,0,0,0,580,0.0010702903993105852
81206,27085,4750,2067,12348,0,3596,4094,4658,0,54121,0.09987101155360033
1701,662,1,3550,221,32,69,40,80,0,1039,0.0019172960773856866
5763,6172,1,12126,2505,1187,735,583,0,0,409,0.00075473926434143
184071,200197,4750,17493,103322,16573,86749,0,0,0,16126,0.02975776375738362
2720,1027,1,2067,270,0,84,95,91,0,1693,0.003124140769022105
10034,10548,1,17493,3356,689,2667,0,0,0,514,0.0009484987331821394
123942,85610,125,2574,14302,0,3797,4303,4533,1669,38332,0.07073512342478165
84405,90109,125,9342,41142,20253,0,20889,0,0,5704,0.010525752478737205
123618,89901,125,2421,14255,0,2811,5169,4575,1700,33717,0.0622189334371638
10222,10484,1,9511,1701,721,0,980,0,0,262,0.0004834760079644368
184922,196875,125,12449,76928,34670,20737,21521,0,0,11953,0.022057208867171427
9369,9892,1,12449,3000,1519,952,529,0,0,523,0.0009651066876542003
2899,2936,1,9511,469,103,0,366,0,0,37,6.827714616291665e-05
7127,4709,1,2438,579,0,163,199,158,59,2418,0.0044620037681603365
5935,2179,1,2218,475,0,142,179,154,0,3756,0.006931052999673377
3096,2290,1,2595,366,42,50,126,109,39,806,0.001487334589386779
84405,90109,125,9342,41142,20253,0,20889,0,0,5704,0.010525752478737205
2488,1815,125,3794,1480,104,324,378,596,78,673,0.0012419059288552136
2937,2985,1,9798,479,113,0,366,0,0,48,8.85757571843243e-05
124895,86522,125,2483,14113,0,3209,4702,4533,1669,38373,0.07081078188404326
984,701,1,2746,224,0,53,75,71,25,283,0.0005222279017325787
2131,1123,4750,2382,1272,0,333,447,492,0,1008,0.0018600909008708105
216763,221172,125,9798,48277,10687,0,37590,0,0,4409,0.008136052363035122
78055,27472,4750,2279,12698,0,3841,4131,4726,0,50583,0.09334224011780576
2954,3014,1,9798,741,178,0,563,0,0,60,0.00011071969648040538
2735,1870,1,2509,354,0,82,104,128,40,865,0.001596208957592511
185357,191630,4750,9511,59131,16241,0,42890,0,0,6273,0.011575744267026383
679,724,1,9342,370,171,0,199,0,0,45,8.303977236030404e-05
9575,10133,1,16881,3339,549,2790,0,0,0,558,0.00102969317726777
5073,3530,1,2627,407,0,127,144,109,27,1543,0.0028473415278210917
79988,29458,4750,2280,12786,0,3830,4232,4724,0,50530,0.09324443771924806
7552,7710,1,9511,1342,501,0,841,0,0,158,0.00029156186739840085
3153,1932,1,2859,291,41,48,95,87,20,1221,0.0022531458233762494
10191,10358,1,9511,1446,445,0,1001,0,0,167,0.00030816982187046167
2061,1381,1,2859,279,49,24,92,86,28,680,0.0012548232267779276
3251,3435,1,9342,1272,717,0,555,0,0,184,0.0003395404025399098
216763,221172,125,9798,48277,10687,0,37590,0,0,4409,0.008136052363035122
121867,80565,125,3705,16243,2194,5557,2497,4282,1713,41302,0.07621574840056172
4830,1974,1,2813,395,85,69,130,111,0,2856,0.005270257552467296
218046,232235,125,16881,91692,12775,78917,0,0,0,14189,0.0261833628893412
5197,2478,1,3118,538,193,59,149,137,0,2719,0.005017447578837037
3076,1051,1,2258,257,0,85,89,83,0,2025,0.0037367897562136814
5902,4365,1,3932,740,178,228,122,161,51,1537,0.0028362695581730514
81845,59357,4750,2425,15376,0,3485,4790,4947,2154,22488,0.04149774224085594
124559,52294,125,3118,14637,3250,1745,5168,4474,0,72265,0.1333526477692749
10257,10812,1,17493,3144,582,2562,0,0,0,555,0.0010241571924437499
5080,5196,1,9511,1155,338,0,817,0,0,116,0.00021405807986211707
84100,57041,4750,2680,15339,1957,2126,4181,4896,2179,27059,0.049932737784388156
220209,234885,125,17493,94048,15131,78917,0,0,0,14676,0.027082037759107155
3832,4142,1,17493,1888,299,1589,0,0,0,310,0.0005720517651487612
955,425,1,2457,210,0,53,74,83,0,530,0.0009780239855769143
184806,190918,4750,9798,59080,16190,0,42890,0,0,6112,0.011278646414803962
5663,4078,1,2863,556,89,74,181,161,51,1585,0.0029248453153573753
184922,196875,125,12449,76928,34670,20737,21521,0,0,11953,0.022057208867171427
118164,41725,125,2094,11860,0,3296,4380,4184,0,76439,0.14105504798776178
574,611,1,9342,313,112,0,201,0,0,37,6.827714616291665e-05
5443,1961,1,2309,398,0,120,150,128,0,3482,0.006425433052412859
3782,2770,1,2492,412,0,120,131,115,46,1012,0.001867472213969504
7244,5233,1,2680,584,65,91,206,174,48,2011,0.0037109551603682536
2727,2780,4750,947,1898,46,204,223,1425,0,53,9.780239855769142e-05
5781,4037,1,3282,637,139,101,191,160,46,1744,0.0032182525110304497
7277,7568,1,6594,2763,33,2093,637,0,0,291,0.0005369905279299661
4052,4329,1,11130,1751,613,612,526,0,0,277,0.0005111559320845381
7259,4844,1,2483,591,0,173,201,158,59,2415,0.004456467783336316
124050,47666,125,2287,12666,0,3525,4991,4150,0,76384,0.14095355493265474
40430,50423,4750,16881,60900,14874,46026,0,0,0,9993,0.018440365448811516
4738,5071,1,17493,2154,428,1726,0,0,0,333,0.0006144943154662498
2003,812,1,3081,241,44,86,37,74,0,1191,0.002197785975136047
7050,2661,1,2201,520,0,173,191,156,0,4389,0.008099145797541653
6108,2530,1,2382,535,0,189,212,134,0,3578,0.006602584566781508
4099,4412,1,9342,1881,1036,0,845,0,0,313,0.0005775877499727814
1697,1860,1,16881,1105,108,997,0,0,0,163,0.00030078850877176795
4286,4603,1,16881,1984,338,1646,0,0,0,317,0.0005849690630714751
3130,3372,1,12103,1457,618,360,479,0,0,242,0.00044656944247096835
114847,123662,125,12126,60437,22712,19215,18510,0,0,8815,0.016266568741246223
40430,50423,4750,16881,60900,14874,46026,0,0,0,9993,0.018440365448811516
79978,25879,4750,2094,12219,0,3741,3820,4658,0,54099,0.09983041433155751
121506,48749,125,2388,13575,0,3881,5254,4440,0,72757,0.13426054928041423
4160,4251,1,9798,792,200,0,592,0,0,91,0.0001679248729952815
