baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.03086066246032715,0.0012998580932617188,620,666.0,1,1,54,47,47,22,13,9,0,0,0,46.0,8.488510063497745e-05,0.07419354838709677,124
0.03168511390686035,0.0008835792541503906,506,570.0,1,1,54,51,51,28,19,9,0,0,0,64.0,0.00011810100957909907,0.12648221343873517,134
0.029679536819458008,0.0004303455352783203,176,192.0,1,1,6,6,6,6,4,2,0,0,0,16.0,2.9525252394774767e-05,0.09090909090909091,19
0.02924370765686035,0.0009171962738037109,196,242.0,1,1,30,30,30,26,9,17,0,0,0,46.0,8.488510063497745e-05,0.23469387755102042,87
0.027008533477783203,0.002297639846801758,77,121.0,38,26,54,48,1248,28,17,11,0,0,0,44.0,8.119444408563061e-05,0.5714285714285714,1368
0.02983236312866211,0.001010894775390625,54,106.0,1,1,54,48,48,20,12,8,0,0,0,52.0,9.5957070283018e-05,0.9629629629629629,123
0.030847549438476562,0.0008718967437744141,171,254.0,1,1,54,47,47,32,23,9,0,0,0,83.0,0.00015316224679789411,0.4853801169590643,134
0.029923677444458008,0.00048279762268066406,476,496.0,1,1,9,9,9,9,8,1,0,0,0,20.0,3.690656549346846e-05,0.04201680672268908,28
0.029192209243774414,0.00042176246643066406,0,0.0,1,1,9,9,9,0,0,0,0,0,0,0.0,0.0,0.0,19
0.02874016761779785,0.0004830360412597656,128,147.0,1,1,9,9,9,9,8,1,0,0,0,19.0,3.506123721879504e-05,0.1484375,28
0.03325700759887695,0.0011243820190429688,912,995.0,1,1,54,47,47,30,21,9,0,0,0,83.0,0.00015316224679789411,0.09100877192982457,132
0.029036521911621094,0.00048232078552246094,541,574.0,1,1,9,9,9,9,8,1,0,0,0,33.0,6.089583306422296e-05,0.06099815157116451,28
0.031205177307128906,0.0008955001831054688,200,259.0,1,1,54,46,46,26,19,7,0,0,0,59.0,0.00010887436820573196,0.295,127
0.02973198890686035,0.0004260540008544922,798,808.0,1,1,6,6,6,6,4,2,0,0,0,10.0,1.845328274673423e-05,0.012531328320802004,19
0.032399654388427734,0.0004572868347167969,46,59.0,1,1,9,9,9,9,8,1,0,0,0,13.0,2.39892675707545e-05,0.2826086956521739,28
