baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.4505763053894043,0.0381009578704834,372623,-7.915453966346248e+18,1,1,8257,303,303,291,242,28,18,3,0,7.915453966346621e+18,2826947845123.793,21242526538476.21,8852
0.5507292747497559,0.0031280517578125,179055,5.053054643331742e+16,7,7,17,17,119,71,21,21,8,21,0,5.053054643313837e+16,18046623726.120846,282206843892.31445,214
0.43215155601501465,0.034708499908447266,441155,-8.50801705364679e+18,1,1,8257,253,253,235,211,7,12,5,0,8.508017053647231e+18,3038577519159.7256,19285777229425.555,8746
0.527458906173706,0.2618725299835205,24437,-6.818903505285992e+18,1,1,118187,7490,7490,2117,254,1001,798,64,0,6.818903505286017e+18,2435322680459.292,279040123799403.25,127795
0.4767780303955078,0.0022978782653808594,100278,8.211715730834978e+18,1,1,17,17,17,17,6,4,3,4,0,8.211715730834877e+18,2932755618155.3135,81889504485878.03,52
0.5051450729370117,0.07682156562805176,72704,-9.114823908110041e+18,1,1,21063,4528,4528,3742,1433,2263,30,16,0,9.114823908110114e+18,3255294252896.469,125368946799489.9,29334
0.41930103302001953,0.264667272567749,170404,-2.677268140957193e+18,1,1,117931,7544,7544,7383,1752,4105,1475,51,0,2.6772681409573637e+18,956167193199.0585,15711298684052.979,132859
0.5302972793579102,0.015115976333618164,63665,-2.4457498362682813e+18,7,7,2065,40,280,183,0,98,78,7,0,2.445749836268345e+18,873482084381.5518,38415924546742.24,2535
0.42860865592956543,0.027698040008544922,624800,-8.562403299224741e+18,1,1,5401,1011,1011,1005,807,145,44,9,0,8.562403299225366e+18,3058001178294.7734,13704230632563.006,7418
0.4148368835449219,0.001850128173828125,701628,-7.756674289006478e+18,1,1,17,17,17,17,6,4,3,4,0,7.75667428900718e+18,2770240817502.564,11055251912704.709,52
0.4198901653289795,0.0035936832427978516,683004,-5.042644695109923e+17,1,1,42,42,42,42,16,4,15,6,1,5.042644695116753e+17,180094453397.02692,738303830594.9531,127
0.6882975101470947,0.001249551773071289,18492,4.842569123750845e+18,27,9,5,5,45,28,0,0,0,0,28,4.842569123750827e+18,1729488972768.1526,261873735872313.8,105
0.43298768997192383,0.011620521545410156,183105,4.784435725374585e+18,1,1,937,937,937,937,673,254,6,4,0,4.784435725374402e+18,1708727044776.572,26129465199608.977,2812
0.41381072998046875,0.0021181106567382812,701755,-3.2350287847783014e+18,1,1,17,17,17,17,1,5,8,3,0,3.2350287847790034e+18,1155367423135.3584,4609911984637.094,52
0.41539764404296875,0.014401912689208984,583760,1.706419750999627e+18,1,1,2065,45,45,41,0,21,15,5,0,1.7064197509990433e+18,609435625356.8011,2923152924145.271,2152
0.5224804878234863,0.3391764163970947,71015,-5.69680656987819e+18,7,7,122905,6779,47453,4436,580,1237,2143,476,0,5.696806569878261e+18,2034573774956.5217,80219764414254.19,174801
0.42582082748413086,0.024027347564697266,425139,2.2137404089700216e+18,1,1,5401,145,145,140,90,35,12,3,0,2.2137404089695964e+18,790621574631.9988,5207097934956.794,5687
0.4225339889526367,0.07460236549377441,278279,-4.2273917533664456e+18,1,1,21167,6437,6437,6413,4849,1537,10,17,0,4.227391753366724e+18,1509782769059.5444,15191199312081.486,34018
0.5972628593444824,0.0011246204376220703,52229,8.350997285138098e+18,3,1,4,4,4,4,1,2,0,1,0,8.350997285138046e+18,2982499030406.445,159891962035230.34,15
0.495074987411499,0.002917051315307617,97588,-6.758986157481547e+18,1,1,33,33,33,33,16,4,5,7,1,6.758986157481644e+18,2413923627672.0156,69260422977022.22,100
0.43988490104675293,0.039171457290649414,77820,7.138796907986148e+18,1,1,450,108,108,108,0,0,0,108,0,7.138796907986071e+18,2549570324280.7393,91734732819147.66,667
0.421067476272583,0.022190570831298828,554432,8.703695624065859e+18,1,1,4945,677,677,672,544,42,80,6,0,8.703695624065305e+18,3108462722880.466,15698400568627.541,6295
0.41405630111694336,0.05732154846191406,426212,6.386740703038197e+18,1,1,17900,4842,4842,4818,4561,69,171,17,0,6.386740703037771e+18,2280978822513.4897,14984891798067.09,27561
0.4743826389312744,0.025291919708251953,53797,-3.323757039055533e+17,1,1,5401,982,982,633,501,108,18,6,0,3.323757039056071e+17,118705608537.71683,6178331578073.259,7017
0.4225013256072998,0.01201319694519043,365281,-2.9936769766794266e+18,1,1,1969,185,185,181,0,165,10,6,0,2.9936769766797916e+18,1069170348814.2113,8195545283438.754,2336
0.425229549407959,0.2603299617767334,171530,3.6117683472531543e+18,1,1,116724,6970,6970,6779,1748,4142,825,64,0,3.611768347252983e+18,1289917266876.0652,21056190446295.008,130474
0.5616676807403564,0.000820159912109375,202692,3.75397166015636e+18,1,1,5,5,5,4,0,0,0,0,4,3.7539716601561574e+18,1340704164341.4849,18520571409607.47,15
0.46726441383361816,0.055368661880493164,171157,-4.0078889583704817e+18,1,1,22566,1547,1547,1509,329,312,800,68,0,4.0078889583706527e+18,1431388913703.8044,23416447813239.613,25623
0.5530490875244141,0.0014154911041259766,100330,4.772169949688221e+18,1,1,9,9,9,9,1,0,4,4,0,4.77216994968812e+18,1704346410602.9001,47564735868515.1,28
0.42833375930786133,0.05295515060424805,152521,-7.204875106331867e+18,1,1,425,221,221,221,0,0,0,221,0,7.20487510633202e+18,2573169680832.8643,47238577680004.85,868
0.40746521949768066,0.0016181468963623047,702495,-6.560527437090076e+18,1,1,13,13,13,13,1,5,3,4,0,6.560527437090778e+18,2343045513246.7065,9338895560951.719,40
0.40467166900634766,0.0015399456024169922,702291,-5.450359616638058e+18,1,1,13,13,13,13,1,5,3,4,0,5.450359616638761e+18,1946557005942.4146,7760827942603.225,40
0.4294307231903076,0.04529309272766113,84679,-1.5141535034120056e+18,1,1,360,109,109,108,0,0,0,108,0,1.5141535034120904e+18,540769108361.4608,17881098069321.68,578
0.4211561679840088,0.016440629959106445,307426,-3.6647088834123105e+18,1,1,2521,390,390,385,177,165,40,3,0,3.6647088834126177e+18,1308824601218.792,11920621168712.527,3297
0.5351686477661133,0.0019791126251220703,194520,8.03124101362671e+18,7,7,13,13,91,63,7,14,21,21,0,8.031241013626515e+18,2868300362009.4697,41287482077043.57,174
0.5350148677825928,0.28484296798706055,129475,7.565373261602486e+18,21,21,17861,5054,106134,20379,16666,197,3265,251,0,7.565373261602357e+18,2701919022000.842,58431150890923.79,144395
0.4297831058502197,0.03849506378173828,65454,-6.848869863306228e+18,1,1,450,108,108,108,0,0,0,108,0,6.848869863306293e+18,2446024951180.819,104636383770377.56,667
0.40999293327331543,0.0008666515350341797,729367,-6.288134082685381e+17,1,1,4,4,4,4,1,2,0,1,0,6.288134082692675e+17,224576217239.02408,862135808542.5684,13
0.4202885627746582,0.021099567413330078,443336,-6.885326127493967e+18,1,1,4849,702,702,694,685,0,0,9,0,6.88532612749441e+18,2459045045533.718,15530717396048.168,6246
0.41860270500183105,0.01796746253967285,400575,-6.214636933358248e+18,1,1,2521,420,420,414,183,205,20,6,0,6.214636933358648e+18,2219513190485.2314,15514290540744.3,3356
0.40883612632751465,0.011380910873413086,182894,1.496850011403448e+18,1,1,937,937,937,937,673,254,6,4,0,1.4968500114032653e+18,534589289786.88043,8184248862200.319,2812
0.4204678535461426,0.05446577072143555,57550,-3.4336030594622356e+18,1,1,425,102,102,102,0,0,0,102,0,3.433603059462293e+18,1226286806950.8188,59662954986312.65,630
0.5148093700408936,0.0011360645294189453,179917,4.161615980829393e+17,7,7,4,4,28,28,7,14,0,7,0,4.161615980827594e+17,148629142172.4141,2313075463034.396,67
0.41010284423828125,0.010683298110961914,181948,1.0708765228281942e+18,1,1,937,937,937,937,673,254,6,4,0,1.0708765228280123e+18,382455901010.0044,5885618543913.713,2812
0.47334909439086914,0.0017681121826171875,100520,3.1143245463109443e+18,1,1,13,13,13,13,1,5,3,4,0,3.114324546310844e+18,1112258766539.5872,30982138343721.09,40
0.40881848335266113,0.27324581146240234,171128,-5.655995078352904e+18,1,1,118839,8179,8179,8020,1706,4664,1602,48,0,5.655995078353075e+18,2019998242268.9553,33051254489931.953,135039
0.39963722229003906,0.002200603485107422,702012,7.147309934600421e+18,1,1,17,17,17,17,6,4,3,4,0,7.147309934599719e+18,2552610690928.471,10181179145940.125,52
0.4063878059387207,0.018130064010620117,585939,-6.14729626406287e+18,1,1,4849,110,110,101,60,21,15,5,0,6.147296264063455e+18,2195462951451.2341,10491358766123.19,5061
0.4090092182159424,0.02248239517211914,442592,-1.1322591944713896e+18,1,1,4849,1080,1080,1072,890,126,50,6,0,1.1322591944718322e+18,404378283739.94006,2558245956709.1865,7002
0.41470766067504883,0.031636953353881836,115013,-4.3113935861578086e+18,1,1,340,153,153,153,0,0,0,153,0,4.311393586157924e+18,1539783423627.8298,37486141446253.24,647
0.4943060874938965,0.01709771156311035,77868,2.9126509734901187e+18,462,308,13,13,4004,1729,82,631,391,625,0,2.912650973490041e+18,1040232490532.1575,37404979882493.98,6208
0.40637874603271484,0.03936624526977539,421344,-7.121273309374397e+18,1,1,8353,1463,1463,1451,1241,164,40,6,0,7.121273309374818e+18,2543311896205.2925,16901328390518.955,11268
0.41138386726379395,0.011470556259155273,182852,5.621662562688833e+18,1,1,973,973,973,973,673,254,46,0,0,5.621662562688649e+18,2007736629531.6604,30744331824036.1,2920
0.4101724624633789,0.06997132301330566,170086,2.6277556722730414e+18,1,1,28489,1586,1586,1557,421,268,800,68,0,2.6277556722728714e+18,938484168668.8827,15449570642339.002,31633
0.39825987815856934,0.0018815994262695312,701666,5.433882457634655e+18,1,1,17,17,17,17,6,4,3,4,0,5.433882457633954e+18,1940672306297.8406,7744257891409.808,52
0.40851402282714844,0.03063344955444336,515558,4.874431346372505e+18,1,1,8257,259,259,250,212,28,3,7,0,4.87443134637199e+18,1740868337989.9963,9454671145384.205,8767
0.4060399532318115,0.029654264450073242,172381,4.841034523918559e+18,1,1,5497,1038,1038,1029,705,288,35,1,0,4.841034523918387e+18,1728940901399.424,28083341690316.145,7565
0.4766683578491211,0.02633213996887207,103173,-2.346290611234548e+18,1,1,288,108,108,108,0,0,0,108,0,2.3462906112346516e+18,837960932583.8042,22741323904845.76,505
0.5130650997161865,0.0020155906677246094,358839,3.815151258866226e+18,7,7,13,13,91,42,0,7,14,21,0,3.8151512588658673e+18,1362554021023.524,10631930361153.24,153
0.5670526027679443,0.004055500030517578,8906,7.813953626519021e+18,54,36,17,17,612,238,52,71,27,88,0,7.813953626519011e+18,2790697723756.7896,877380824895465.0,921
0.41161227226257324,0.12651681900024414,171062,7.339060003636071e+18,1,1,38358,7024,7024,6956,426,5664,802,64,0,7.3390600036359e+18,2621092858441.393,42902924107258.77,52339
0.48088574409484863,0.02522587776184082,64158,-6.691555165209015e+18,1,1,5401,914,914,575,530,36,0,9,0,6.69155516520908e+18,2389841130431.8145,104298063611850.11,6891
0.48610949516296387,0.0008935928344726562,104032,-3.682391502154166e+17,1,1,3,3,3,3,1,0,1,1,0,3.6823915021552064e+17,131513982219.8288,3539671929940.0244,10
