estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
0,32.3865,3,1,0,32,0,0,0,0,0,0,0,0,0.0520765781402587,0,0,0.0,0.0
0,36.2939,3,22,22,54,45,990,0,0,0,0,0,0,0.0674855709075927,0,0,0.0,0.0
0,76.224,3,1,0,81,63,0,0,0,0,0,0,0,0.0532906055450439,0,0,0.0,0.0
0,43.9577,3,27,27,36,0,0,0,0,0,0,0,0,0.06941819190979,0,0,0.0,0.0
0,45.1077,3,1,1,81,9,9,0,0,0,0,0,0,0.0490353107452392,0,0,0.0,0.0
0,40.0579,3,27,27,32,0,0,0,0,0,0,0,0,0.0699477195739746,0,0,0.0,0.0
72,39.1843,3,18,18,48,40,720,52,0,0,0,52,0,0.0677473545074462,64,8,1.3334800161351082e-05,0.125
0,104.669,3,1,1,54,0,0,0,0,0,0,0,0,0.0495164394378662,0,0,0.0,0.0
0,61.827,3,18,9,36,9,81,0,0,0,0,0,0,0.068336009979248,0,0,0.0,0.0
0,46.3887,3,18,18,36,9,162,0,0,0,0,0,0,0.0678708553314209,0,0,0.0,0.0
7,46.6209,3,18,9,32,8,72,4,0,0,0,4,0,0.0690381526947021,6,1,1.6668500201688853e-06,0.16666666666666666
0,42.9275,3,1,1,32,8,8,0,0,0,0,0,0,0.0505592823028564,0,0,0.0,0.0
0,42.3565,3,1,0,36,27,0,0,0,0,0,0,0,0.051283836364746,0,0,0.0,0.0
0,41.6078,3,1,1,32,8,8,0,0,0,0,0,0,0.0500898361206054,0,0,0.0,0.0
0,42.1544,3,1,1,54,0,0,0,0,0,0,0,0,0.0513291358947753,0,0,0.0,0.0
0,41.5334,3,1,1,36,36,36,0,0,0,0,0,0,0.0507590770721435,0,0,0.0,0.0
0,40.9884,3,1,1,36,9,9,0,0,0,0,0,0,0.0501914024353027,0,0,0.0,0.0
41,42.4415,3,1,1,54,27,27,9,0,0,0,9,0,0.0502166748046875,2,39,6.500715078658653e-05,19.5
0,39.3271,3,18,18,54,0,0,0,0,0,0,0,0,0.0693433284759521,0,0,0.0,0.0
0,41.207,3,1,1,48,0,0,0,0,0,0,0,0,0.057896614074707,0,0,0.0,0.0
41,40.6031,3,1,1,54,9,9,9,0,0,0,9,0,0.0532951354980468,9,32,5.333920064540433e-05,3.5555555555555554
0,39.9804,3,1,1,54,45,45,0,0,0,0,0,0,0.0529427528381347,0,0,0.0,0.0
0,39.4233,3,18,9,72,56,504,0,0,0,0,0,0,0.0726089477539062,0,0,0.0,0.0
7,38.419,3,18,9,36,9,81,6,0,0,0,6,0,0.0771243572235107,8,1,1.6668500201688853e-06,0.125
363,37.8481,3,1,1,81,27,27,27,0,0,0,27,0,0.0538685321807861,164,199,0.00033170315401360816,1.2134146341463414
83,38.2477,3,18,18,54,27,486,43,0,0,0,43,0,0.0679743289947509,44,39,6.500715078658653e-05,0.8863636363636364
0,39.4032,3,1,0,54,0,0,0,0,0,0,0,0,0.0515711307525634,0,0,0.0,0.0
0,38.2508,3,1,1,36,0,0,0,0,0,0,0,0,0.0530555248260498,0,0,0.0,0.0
0,38.1341,3,1,1,36,0,0,0,0,0,0,0,0,0.0499083995819091,0,0,0.0,0.0
0,39.3386,3,1,1,36,9,9,0,0,0,0,0,0,0.0513880252838134,0,0,0.0,0.0
0,40.1318,3,27,9,36,27,243,0,0,0,0,0,0,0.0687205791473388,0,0,0.0,0.0
0,54.8831,3,1,0,36,27,0,0,0,0,0,0,0,0.0526270866394043,0,0,0.0,0.0
0,47.6579,3,1,1,54,45,45,0,0,0,0,0,0,0.0530333518981933,9,9,1.5001650181519968e-05,1.0
44,37.6585,3,1,1,54,45,45,13,0,0,0,13,0,0.0514938831329345,105,61,0.000101677851230302,0.580952380952381
0,37.9606,3,1,1,54,0,0,0,0,0,0,0,0,0.0517048835754394,0,0,0.0,0.0
0,38.8916,3,1,1,72,8,8,0,0,0,0,0,0,0.0500106811523437,0,0,0.0,0.0
0,40.1315,3,1,0,81,54,0,0,0,0,0,0,0,0.0500938892364501,0,0,0.0,0.0
0,39.1432,3,1,0,54,0,0,0,0,0,0,0,0,0.0520281791687011,0,0,0.0,0.0
0,39.7851,3,1,1,54,9,9,0,0,0,0,0,0,0.0490517616271972,0,0,0.0,0.0
