runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.0026803016662597656,1120366,1125723.0,1,1,13,13,13,11,1,4,2,4,0,5357.0,0.00011162973220096011,0.004781473197151645,38
0.0018262863159179688,1712654,1718362.0,1,1,13,13,13,13,1,5,3,4,0,5708.0,0.00011894390729943631,0.003332838973896654,40
0.002108335494995117,1713035,1724250.0,1,1,17,17,17,17,6,4,3,4,0,11215.0,0.00023369935535444606,0.006546859813138669,52
0.03396296501159668,2056404,2941666.0,1,1,5401,924,924,924,724,181,18,1,0,885262.0,0.01844718312258472,0.43049031221491496,7250
0.046149253845214844,7668060,9428024.0,1,1,8353,1752,1752,1751,1621,84,40,6,0,1759964.0,0.03667431584904435,0.22951880919032977,11857
0.000698089599609375,3427689,3427689.0,1,1,5,5,5,5,0,0,0,0,5,0.0,0.0,0.0,16
0.03746819496154785,5995848,7045441.0,1,1,8257,1131,1131,1131,819,259,50,3,0,1049593.0,0.021871529869330282,0.17505330355272516,10520
0.08917379379272461,8550109,14835099.0,1,1,21162,6908,6908,6906,4333,2548,8,17,0,6284990.0,0.13096728590362372,0.73507717854825,34977
0.0024509429931640625,11706550,11719794.0,1,1,24,24,24,24,6,5,5,7,1,13244.0,0.0002759798718068911,0.0011313324591788359,73
0.014361858367919922,1386153,2397305.0,462,308,5,5,1540,1540,308,616,616,0,0,1011152.0,0.02107049224836013,0.7294663720382959,3547
0.07632851600646973,7287258,12649348.0,1,1,21178,6054,6054,6054,3247,2780,10,17,0,5362090.0,0.11173579815894086,0.7358172305687544,33287
0.010369062423706055,445684,1266304.0,1,1,883,883,883,883,613,260,6,4,0,820620.0,0.017100166294334865,1.84125972662245,2650
0.0018455982208251953,428872,438574.0,1,1,17,17,17,15,5,4,3,3,0,9702.0,0.00020217130143993187,0.02262213434311403,50
0.02323126792907715,7965416,8126111.0,1,1,5401,181,181,181,122,42,12,5,0,160695.0,0.003348579394443398,0.02017408758061098,5764
0.010714292526245117,3119040,3958337.0,1,1,919,919,919,919,613,260,46,0,0,839297.0,0.017489359594375437,0.2690882451010567,2758
0.0068836212158203125,445952,1099330.0,1,1,649,649,649,649,613,0,32,4,0,653378.0,0.013615159821915048,1.4651307764064294,1948
0.0008406639099121094,12476663,12479021.0,1,1,4,4,4,4,1,2,0,1,0,2358.0,4.913625322566062e-05,0.00018899284207644305,13
0.0011737346649169922,11994298,11997529.0,1,1,9,9,9,9,1,0,4,4,0,3231.0,6.732791949622963e-05,0.00026937799944607013,28
0.0016634464263916016,11994964,12005048.0,1,1,17,17,17,17,6,4,3,4,0,10084.0,0.00021013145781491164,0.0008406861412839588,52
0.0006301403045654297,3472119,3472119.0,1,1,5,5,5,4,0,0,0,0,4,0.0,0.0,0.0,15
0.0006239414215087891,1691576,1691576.0,1,1,5,5,5,4,0,0,0,0,4,0.0,0.0,0.0,15
0.0006170272827148438,6853099,6853099.0,1,1,5,5,5,5,0,0,0,0,5,0.0,0.0,0.0,16
0.002511262893676758,162226,281443.0,54,36,5,5,180,180,36,72,72,0,0,119217.0,0.0024842564464815867,0.7348822013733927,419
0.05500507354736328,3567499,8442908.0,7,7,5497,947,6629,5495,3492,1507,454,42,0,4875409.0,0.10159428804184258,1.3666181826540105,17628
0.0019524097442626953,1712637,1722824.0,1,1,17,17,17,17,6,4,3,4,0,10187.0,0.00021227778270135908,0.005948137287703115,52
0.01624774932861328,10928452,11154376.0,1,1,2521,305,305,305,82,190,23,10,0,225924.0,0.0047078281907354325,0.020673010230543173,3132
0.15841341018676758,2924513,15402437.0,1,1,32501,15885,15885,15883,4518,10499,802,64,0,12477924.0,0.26001629914951147,4.266667304949576,64270
0.0017833709716796875,1447378,1451519.0,1,1,13,13,13,10,1,4,1,4,0,4141.0,8.629059567746421e-05,0.0028610356106006864,37
0.3843419551849365,2898404,35233836.0,1,1,117134,33961,33961,33952,25665,7594,625,68,0,32335432.0,0.6738091496662976,11.156288771337605,185048
0.010569334030151367,3115416,3955916.0,1,1,919,919,919,919,613,260,46,0,0,840500.0,0.017514427835524916,0.26978740559848186,2758
0.022612571716308594,11644113,11792747.0,1,1,5401,165,165,165,121,28,9,7,0,148634.0,0.003097251001672112,0.012764733561070732,5732
0.002443552017211914,3330571,3396732.0,21,7,17,17,119,103,40,19,21,23,0,66161.0,0.0013786699107985294,0.019864761928209906,260
0.06509923934936523,949083,6835473.0,1,1,18030,5737,5737,5680,5418,59,187,16,0,5886390.0,0.1226612169741291,6.202186742360784,29448
0.0175931453704834,1090777,1760543.0,378,252,9,9,2268,2009,220,0,879,910,0,669766.0,0.01395665469802282,0.6140265150438632,4664
0.001191854476928711,11990623,11993990.0,1,1,9,9,9,9,1,0,4,4,0,3367.0,7.016190187056798e-05,0.0002808027572879241,28
0.030663490295410156,2123725,2366672.0,1,1,8257,245,245,245,215,21,9,0,0,242947.0,0.005062555263958681,0.11439663798278968,8748
0.034589529037475586,1442554,1645862.0,1,1,8353,216,216,215,180,14,15,6,0,203308.0,0.004236553592367518,0.14093614519803072,8785
0.010753631591796875,444585,1329362.0,1,1,937,937,937,937,673,254,6,4,0,884777.0,0.018437076641323293,1.990118874905811,2812
0.012663841247558594,445730,1339169.0,1,1,973,973,973,973,673,254,46,0,0,893439.0,0.018617576312841815,2.0044399075673613,2920
0.025754928588867188,1802044,2571658.0,7,7,5401,127,889,856,630,120,58,48,0,769614.0,0.016037297875323823,0.42707836212656297,7153
0.0007109642028808594,3429384,3429384.0,3,1,5,5,5,4,0,0,0,0,4,0.0,0.0,0.0,17
0.010452985763549805,3117008,4009469.0,1,1,937,937,937,937,673,254,6,4,0,892461.0,0.01859719664547341,0.2863197656213908,2812
0.08324646949768066,7385517,14468137.0,1,1,21648,7891,7891,7890,5126,2416,348,0,0,7082620.0,0.14758838414806125,0.9589877052615274,37430
0.06345415115356445,5514794,11123479.0,1,1,17853,5522,5522,5522,5313,10,183,16,0,5608685.0,0.11687437083247003,1.017025295958471,28898
0.011623382568359375,3119373,4015435.0,1,1,973,973,973,973,673,254,46,0,0,896062.0,0.018672234664076297,0.28725708660041616,2920
0.03118729591369629,1548598,1822864.0,1,1,8257,284,284,284,242,29,6,7,0,274266.0,0.005715183896178556,0.17710600168668691,8826
1.362121820449829,2875326,195661470.0,7,7,123891,35597,249179,208344,146944,49689,11375,336,0,192786144.0,4.017298044946002,67.04844737605406,581421
0.04102206230163574,383234,938007.0,1,1,17777,616,616,595,487,11,83,14,0,554773.0,0.011560418409991271,1.4476090326014914,18989
0.02675032615661621,10509268,10596250.0,1,1,5497,106,106,106,62,21,18,5,0,86982.0,0.0018125401094463156,0.00827669443770965,5710
0.0016162395477294922,1711897,1718391.0,1,1,13,13,13,13,1,5,3,4,0,6494.0,0.0001353226583746565,0.003793452526641498,40
0.028995037078857422,2181495,2293147.0,1,1,425,204,204,204,0,0,0,204,0,111652.0,0.0023266161769090157,0.051181414580368054,834
0.06606125831604004,4904784,10584518.0,1,1,18043,5608,5608,5608,5353,51,190,14,0,5679734.0,0.11835489740389919,1.1579988028015098,29260
0.0019731521606445312,1570368,1589203.0,3,3,13,13,39,37,3,14,9,11,0,18835.0,0.0003924857207401687,0.011994003953213515,92
0.0017008781433105469,11991940,12001734.0,1,1,17,17,17,17,6,4,3,4,0,9794.0,0.00020408840716374898,0.0008167152270608425,52
0.0007944107055664062,12476428,12479179.0,1,1,4,4,4,4,1,2,0,1,0,2751.0,5.732562876327072e-05,0.00022049580216388859,13
