runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.0016243457794189453,12632,12721.0,1,1,10,10,10,10,5,4,1,0,0,89.0,0.00014834965179503078,0.007045598480050665,31
0.013149261474609375,12191,16115.0,462,308,12,12,3696,1018,155,97,304,462,0,3924.0,0.006540719479142706,0.32187679435649247,5188
0.0010886192321777344,12383,12460.0,1,1,9,9,9,9,4,4,1,0,0,77.0,0.00012834745155300417,0.006218202374222725,28
0.015251398086547852,12077,17614.0,378,252,18,18,4536,1359,97,290,500,472,0,5537.0,0.009229348561675118,0.45847478678479753,6291
0.0022068023681640625,11716,11875.0,1,1,26,26,26,26,6,7,13,0,0,159.0,0.00026502915320685276,0.013571184704677365,79
0.001089334487915039,12264,12352.0,1,1,9,9,9,9,4,4,1,0,0,88.0,0.0001466828017748619,0.007175472928897586,28
0.002974987030029297,12114,13955.0,1,1,251,251,251,251,10,241,0,0,0,1841.0,0.0030686708871309177,0.15197292388971437,754
0.040994882583618164,12293,17822.0,462,308,45,45,13860,3598,8,116,717,2757,0,5529.0,0.009216013761513767,0.44976816074188564,17965
0.0021605491638183594,13215,13215.0,126,63,5,5,315,145,0,0,0,0,145,0.0,0.0,0.0,591
0.001241445541381836,5867,5867.0,42,28,5,5,140,66,0,0,0,0,66,0.0,0.0,0.0,253
0.00226593017578125,12012,12183.0,1,1,27,27,27,27,6,8,13,0,0,171.0,0.00028503135344887937,0.014235764235764236,82
0.023821353912353516,12157,16417.0,462,308,25,25,7700,2064,2,16,908,882,256,4260.0,0.007100781085919451,0.350415398535823,10251
0.001867055892944336,359,359.0,63,63,5,5,315,113,0,0,0,0,113,0.0,0.0,0.0,496
0.13540244102478027,0,0.0,1,1,83590,0,0,0,0,0,0,0,0,0.0,0.0,0.0,83591
0.001318216323852539,11899,11946.0,1,1,9,9,9,9,1,3,3,2,0,47.0,7.834195094793761e-05,0.003949911757290528,28
0.01605224609375,11831,17301.0,462,308,16,16,4928,1094,22,456,462,154,0,5470.0,0.009117669610323802,0.4623446876848956,6500
0.003458261489868164,11964,13846.0,1,1,255,255,255,255,14,241,0,0,0,1882.0,0.003137011737957842,0.15730524908057505,766
0.01085662841796875,11906,14269.0,462,308,11,11,3388,573,71,117,154,231,0,2363.0,0.003938766597659076,0.19847135897866622,4434
0.0012395381927490234,5867,5867.0,42,28,5,5,140,66,0,0,0,0,66,0.0,0.0,0.0,253
0.0009908676147460938,11980,12044.0,1,1,8,8,8,8,3,4,1,0,0,64.0,0.00010667840129080866,0.005342237061769616,25
