estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
24068,0.171,-1,1,1,15,15,15,15,6,3,1,5,0,0.0306174755096435,23970,98,0.00016335130197655075,0.004088443888193575
48848,0.465,-1,21,21,8,8,168,112,28,42,28,14,0,0.0316660404205322,48117,731,0.001218467364743455,0.01519213583556747
24239,0.2448,-1,1,1,33,33,33,33,6,17,8,2,0,0.0224506855010986,24005,234,0.00039004290471951914,0.00974796917308894
24130,0.0701,-1,1,1,10,10,10,10,3,4,3,0,0,0.0218927860260009,24042,88,0.0001466828017748619,0.0036602612095499544
24342,0.0786,-1,1,1,12,12,12,12,5,4,3,0,0,0.0219006538391113,24249,93,0.00015501705187570634,0.003835209699369046
20923,0.0157,-1,1,1,1,1,1,1,0,0,0,0,1,0.0376811027526855,20923,0,0.0,0.0
29362,6.2021,-1,462,307,13,13,3991,1251,53,376,521,77,224,0.0495495796203613,23802,5560,0.009267686112139002,0.23359381564574405
24341,0.1634,-1,1,1,11,11,11,11,4,4,3,0,0,0.0207996368408203,24257,84,0.00014001540169418636,0.003462917920600239
20962,0.0716,-1,1,1,1,1,1,1,0,0,0,0,1,0.035947561264038,20962,0,0.0,0.0
49663,0.5054,-1,7,7,13,13,91,91,28,14,35,14,0,0.0297415256500244,49111,552,0.0009201012111332246,0.011239844434037182
24074,0.268,-1,1,1,17,17,17,17,3,4,6,4,0,0.0293929576873779,23987,87,0.000145015951754693,0.003626964605828157
24281,0.2032,-1,1,1,12,12,12,12,5,4,3,0,0,0.0224153995513916,24183,98,0.00016335130197655075,0.004052433527684737
27434,6.2788,-1,378,252,14,14,3528,1109,108,132,249,370,250,0.0454874038696289,24071,3363,0.005605616617827961,0.13971168626147645
24351,0.189,-1,1,1,11,11,11,11,4,4,3,0,0,0.0209386348724365,24277,74,0.00012334690149249752,0.0030481525723936235
24239,0.102,-1,1,1,14,14,14,14,8,3,3,0,0,0.0204317569732666,24124,115,0.0001916877523194218,0.004767036975625933
24282,0.0833,-1,1,1,12,12,12,12,5,4,3,0,0,0.0208737850189209,24181,101,0.0001683518520370574,0.004176833050742318
20923,0.034,-1,1,1,1,1,1,1,0,0,0,0,1,0.0366241931915283,20923,0,0.0,0.0
20962,0.0144,-1,1,1,1,1,1,1,0,0,0,0,1,0.0363678932189941,20962,0,0.0,0.0
24438,0.0828,-1,1,1,12,12,12,12,5,4,3,0,0,0.0211756229400634,24348,90,0.00015001650181519966,0.003696402168555939
24064,0.1451,-1,1,1,21,21,21,21,7,4,6,4,0,0.0282976627349853,23938,126,0.00021002310254127955,0.005263597627203609
20923,0.0066,-1,1,1,1,1,1,1,0,0,0,0,1,0.0351743698120117,20923,0,0.0,0.0
19107,0.1473,-1,3,3,15,15,45,22,2,8,0,9,3,0.0376513004302978,19030,77,0.00012834745155300417,0.004046242774566474
24312,0.0844,-1,1,1,12,12,12,12,5,4,3,0,0,0.0204031467437744,24202,110,0.00018335350221857738,0.004545078919097595
0,0.1443,-1,7,7,12,12,84,0,0,0,0,0,0,0.0288150310516357,0,0,0.0,0.0
20923,0.0083,-1,1,1,1,1,1,1,0,0,0,0,1,0.0354812145233154,20923,0,0.0,0.0
20962,0.0068,-1,1,1,1,1,1,1,0,0,0,0,1,0.0369081497192382,20962,0,0.0,0.0
24384,0.067,-1,1,1,9,9,9,9,2,4,3,0,0,0.0204188823699951,24312,72,0.00012001320145215974,0.0029615004935834156
24283,0.0731,-1,1,1,11,11,11,11,4,4,3,0,0,0.0209920406341552,24192,91,0.00015168335183536857,0.003761574074074074
20923,0.006,-1,1,1,1,1,1,1,0,0,0,0,1,0.036466360092163,20923,0,0.0,0.0
551,0.0088,-1,1,1,1,1,1,1,0,0,0,0,1,0.0460371971130371,551,0,0.0,0.0
24332,0.1438,-1,1,1,12,12,12,12,6,3,3,0,0,0.0212564468383789,24247,85,0.00014168225171435524,0.0035055883202045612
24290,0.15,-1,1,1,10,10,10,10,3,4,3,0,0,0.0215437412261962,24205,85,0.00014168225171435524,0.0035116711423259657
2386,0.4063,-1,7,7,18,18,126,49,21,21,0,7,0,0.0301234722137451,2015,371,0.0006184013574826564,0.18411910669975187
24540,0.1378,-1,1,1,12,12,12,12,5,4,3,0,0,0.0221118927001953,24443,97,0.00016168445195638187,0.003968416315509553
24280,0.0968,-1,1,1,8,8,8,8,1,4,3,0,0,0.0224556922912597,24233,47,7.834195094793761e-05,0.0019395039821730698
24132,0.174,-1,1,1,18,18,18,18,4,4,6,4,0,0.0311725139617919,24036,96,0.000160017601936213,0.00399400898652022
24311,0.11,-1,1,1,11,11,11,11,4,4,3,0,0,0.0235676765441894,24227,84,0.00014001540169418636,0.0034672060098237503
24299,0.117,-1,1,1,11,11,11,11,4,4,3,0,0,0.0244736671447753,24219,80,0.00013334800161351082,0.0033031917089888104
49290,0.531,-1,7,7,13,13,91,91,7,35,35,14,0,0.0338473320007324,48814,476,0.0007934206096003893,0.009751300856311713
24377,0.207,-1,1,1,13,13,13,13,7,3,3,0,0,0.0238990783691406,24273,104,0.00017335240209756406,0.0042845960532278664
24203,0.1015,-1,1,1,8,8,8,8,1,4,3,0,0,0.0227534770965576,24157,46,7.667510092776873e-05,0.0019042099598460074
24062,0.3817,-1,1,1,38,38,38,36,3,9,15,8,1,0.0329258441925048,23901,161,0.00026836285324719053,0.006736119827622275
24134,0.3253,-1,1,1,21,21,21,21,4,8,7,2,0,0.0233724117279052,24014,120,0.00020002200242026622,0.004997085033730324
0,0.6215,-1,21,21,18,18,378,0,0,0,0,0,0,0.0329532623291015,0,0,0.0,0.0
25578,0.1005,-1,1,1,4,4,4,4,1,1,1,1,0,0.0308656692504882,25554,24,4.000440048405325e-05,0.0009391876027236441
24270,0.2096,-1,1,1,12,12,12,12,4,5,3,0,0,0.0218894481658935,24185,85,0.00014168225171435524,0.0035145751498862933
24348,0.1551,-1,1,1,12,12,12,12,5,4,3,0,0,0.0227282047271728,24242,106,0.00017668610213790182,0.0043725765200891015
24317,0.2043,-1,1,1,12,12,12,12,5,4,3,0,0,0.0218029022216796,24220,97,0.00016168445195638187,0.004004954582989265
20923,0.0398,-1,1,1,1,1,1,1,0,0,0,0,1,0.0395045280456543,20923,0,0.0,0.0
24248,0.1848,-1,1,1,16,16,16,16,5,5,1,5,0,0.0307834148406982,24127,121,0.0002016888524404351,0.005015128279520869
23950,0.2887,-1,1,1,18,18,18,18,3,5,6,4,0,0.0304231643676757,23858,92,0.00015335020185553745,0.0038561488808785314
27065,1.1157,-1,189,189,1,1,189,189,0,0,0,0,189,0.0597100257873535,27065,0,0.0,0.0
24092,0.2477,-1,1,1,13,13,13,13,2,5,1,5,0,0.0307381153106689,24023,69,0.00011501265139165308,0.0028722474295466843
24384,0.1471,-1,1,1,11,11,11,11,5,3,3,0,0,0.0221278667449951,24303,81,0.0001350148516336797,0.0033329218614985803
24103,0.2028,-1,1,1,10,10,10,10,3,4,3,0,0,0.0214672088623046,24040,63,0.00010501155127063977,0.0026206322795341097
24211,0.2261,-1,1,1,18,18,18,18,3,5,6,4,0,0.0295677185058593,24115,96,0.000160017601936213,0.003980924735641717
24117,0.2054,-1,1,1,12,12,12,12,2,4,1,5,0,0.0304844379425048,24062,55,9.167675110928869e-05,0.002285761782063004
24233,0.1393,-1,1,1,8,8,8,8,1,4,3,0,0,0.0211448669433593,24161,72,0.00012001320145215974,0.002980009105583378
0,0.2252,-1,7,7,16,16,112,0,0,0,0,0,0,0.0304758548736572,0,0,0.0,0.0
24521,0.1423,-1,1,1,13,13,13,13,7,3,3,0,0,0.022240400314331,24417,104,0.00017335240209756406,0.004259327517713069
48752,0.4706,-1,7,7,11,11,77,77,14,14,35,14,0,0.0303881168365478,48340,412,0.0006867422083095807,0.008522962350020686
0,0.3465,-1,21,21,13,13,273,0,0,0,0,0,0,0.0323429107666015,0,0,0.0,0.0
24461,0.2166,-1,1,1,12,12,12,12,6,3,3,0,0,0.0220444202423095,24358,103,0.00017168555207739517,0.004228590196239428
24236,0.1465,-1,1,1,15,15,15,15,4,5,1,5,0,0.0312302112579345,24145,91,0.00015168335183536857,0.003768896251811969
49267,0.4067,-1,7,7,13,13,91,91,14,28,35,14,0,0.0320909023284912,48717,550,0.0009167675110928868,0.011289693536137282
24321,0.0955,-1,1,1,9,9,9,9,2,4,3,0,0,0.0216147899627685,24267,54,9.000990108911981e-05,0.0022252441587340835
27797,6.1326,-1,378,252,12,12,3024,1095,37,232,322,378,126,0.0486774444580078,24047,3750,0.00625068757563332,0.15594460847506966
