baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.02525615692138672,0.0008032321929931641,96254,96317.0,1,1,9,9,9,9,3,3,0,3,0,63.0,0.00010501155127063977,0.0006545182537868557,28
0.02246689796447754,0.0005965232849121094,96263,96317.0,1,1,10,10,10,10,2,1,5,2,0,54.0,9.000990108911981e-05,0.0005609631945815111,31
0.020073413848876953,0.0010800361633300781,96352,96491.0,1,1,19,19,19,19,6,7,4,2,0,139.0,0.00023169215280347504,0.0014426270342079044,58
0.021064043045043945,0.0006346702575683594,96223,96285.0,1,1,12,12,12,12,3,2,5,2,0,62.0,0.00010334470125047089,0.0006443365931222265,37
0.02013564109802246,0.0004088878631591797,96320,96348.0,1,1,5,5,5,5,0,2,0,3,0,28.0,4.667180056472879e-05,0.00029069767441860465,16
0.027087688446044922,0.0020678043365478516,192528,194322.0,21,21,21,21,441,294,98,56,70,70,0,1794.0,0.00299032893618298,0.009318125155821491,777
0.025903940200805664,0.0011610984802246094,118560,119007.0,7,7,13,13,91,84,21,21,14,14,14,447.0,0.0007450819590154917,0.003770242914979757,195
0.01929783821105957,0.0008225440979003906,96199,96333.0,1,1,19,19,19,19,7,6,4,2,0,134.0,0.00022335790270263062,0.0013929458726182184,58
0.0231783390045166,0.0013759136199951172,96016,96236.0,1,1,37,37,37,37,9,8,10,10,0,220.0,0.00036670700443715477,0.002291284785869022,112
0.02217578887939453,0.0006263256072998047,96076,96173.0,1,1,12,12,12,12,8,1,0,3,0,97.0,0.00016168445195638187,0.0010096173862358965,37
0.028453826904296875,0.0012149810791015625,130324,130642.0,7,7,17,17,119,70,14,14,7,28,7,318.0,0.0005300583064137055,0.00244007243485467,213
0.020318984985351562,0.0007061958312988281,96275,96322.0,1,1,11,11,11,11,3,1,5,2,0,47.0,7.834195094793761e-05,0.00048818488704232665,34
0.02646183967590332,0.0015130043029785156,134293,134753.0,7,7,24,24,168,91,28,7,21,28,7,460.0,0.0007667510092776872,0.0034253460716493042,290
0.01954507827758789,0.0008301734924316406,96089,96225.0,1,1,17,17,17,17,5,6,4,2,0,136.0,0.00022669160274296839,0.0014153545150849733,52
