runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.026315689086914062,80043,235606.0,1,1,8257,393,393,291,242,28,18,3,0,155563.0,0.25930018968753227,1.9434928725809877,8942
0.0017333030700683594,38619,66060.0,7,7,17,17,119,71,21,21,8,21,0,27441.0,0.04574003140345438,0.7105569797250059,214
0.026747941970825195,94973,223121.0,1,1,8257,336,336,237,213,7,12,5,0,128148.0,0.2136034963846023,1.349309803838986,8831
0.2634413242340088,5464,397649.0,1,1,108065,4120,4120,1008,114,257,573,64,0,392185.0,0.6537135751599342,71.77617130307468,113194
0.0012497901916503906,21726,28756.0,1,1,17,17,17,17,6,4,3,4,0,7030.0,0.011717955641787263,0.32357543956549756,52
0.05716395378112793,15435,1053487.0,1,1,18886,3175,3175,2114,465,1603,30,16,0,1038052.0,1.7302769971363516,67.25312601230969,24176
0.25626444816589355,38063,1376872.0,1,1,109356,4497,4497,3185,432,1227,1475,51,0,1338809.0,2.2315938086522853,35.173501825920184,117039
0.010624885559082031,13582,92849.0,7,7,2065,58,406,192,1,103,80,8,0,79267.0,0.13212620054872704,5.836180238551023,2670
0.021594524383544922,133670,543956.0,1,1,5401,828,828,778,583,143,43,9,0,410286.0,0.6838852273750112,3.0693947781850826,7008
0.0009567737579345703,150009,156642.0,1,1,17,17,17,17,6,4,3,4,0,6633.0,0.011056216183780216,0.044217346959182446,52
0.0016553401947021484,151920,168531.0,1,1,41,41,41,41,15,4,15,6,1,16611.0,0.027688045685025354,0.10934044233807266,124
0.0007710456848144531,3927,5424.0,27,9,5,5,45,27,0,0,0,0,27,1497.0,0.0024952744801928213,0.3812070282658518,104
0.009285449981689453,39466,536549.0,1,1,937,932,932,932,668,254,6,4,0,497083.0,0.8285628085756099,12.595221203060863,2802
0.0009565353393554688,150659,156661.0,1,1,17,17,17,17,1,5,8,3,0,6002.0,0.010004433821053649,0.03983831035650044,52
0.008806228637695312,124912,141105.0,1,1,2065,62,62,41,0,21,15,5,0,16193.0,0.026991302376594757,0.12963526322531063,2169
0.32704639434814453,15848,1008112.0,7,7,114678,3702,25914,2524,587,553,908,476,0,992264.0,1.6539552684128587,62.6113074204947,143123
0.01853775978088379,90899,163248.0,1,1,5401,201,201,142,92,35,12,3,0,72349.0,0.12059493210919868,0.7959273479356208,5745
0.06254076957702637,54601,1876436.0,1,1,19738,3659,3659,3458,2139,1295,10,14,0,1821835.0,3.036725706494381,33.36633028699108,26856
0.0006954669952392578,11231,12848.0,3,1,4,4,4,4,1,2,0,1,0,1617.0,0.0026952964826130873,0.14397649363369247,15
0.001367330551147461,21667,33270.0,1,1,32,32,32,28,11,4,5,7,1,11603.0,0.019340460784019575,0.535514838233258,93
