baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.023073673248291016,0.01368093490600586,80043,82936.0,1,1,8257,289,289,289,240,28,18,3,0,2893.0,0.004822197108348585,0.03614307309820971,8836
0.026755809783935547,0.0009484291076660156,38619,39053.0,7,7,17,17,119,70,21,21,7,21,0,434.0,0.0007234129087532962,0.01123799166213522,213
0.021762609481811523,0.013586759567260742,94973,97383.0,1,1,8257,233,233,233,209,7,12,5,0,2410.0,0.004017108548607013,0.025375633074663326,8724
0.033303022384643555,0.011529684066772461,5464,3164.0,1,1,1,1,1,1,0,0,0,0,1,2300.0,0.003833755046388436,0.42093704245973645,4
0.03430461883544922,0.0006608963012695312,21726,21827.0,1,1,17,17,17,17,6,4,3,4,0,101.0,0.0001683518520370574,0.0046488078799594955,52
0.029633760452270508,0.024567604064941406,15435,31442.0,1,1,18886,2959,2959,2067,438,1583,30,16,0,16007.0,0.026681268272843346,1.0370586329770004,23913
0.0211029052734375,0.009790182113647461,38063,45079.0,1,1,2,2,2,2,0,0,0,0,2,7016.0,0.011694619741504899,0.18432598586553872,7
0.027075529098510742,0.005929231643676758,13582,14664.0,7,7,2065,37,259,182,0,98,77,7,0,1082.0,0.0018035317218227339,0.07966426152260345,2513
0.02206730842590332,0.01139521598815918,133670,141184.0,1,1,5401,774,774,774,580,142,43,9,0,7514.0,0.012524711051549004,0.05621306201840353,6950
0.019594430923461914,0.0006892681121826172,150009,150113.0,1,1,17,17,17,17,6,4,3,4,0,104.0,0.00017335240209756406,0.0006932917358291836,52
0.019537925720214844,0.0012500286102294922,151920,152173.0,1,1,41,41,41,41,15,4,15,6,1,253.0,0.000421713055102728,0.0016653501843075303,124
0.061032772064208984,0.0004515647888183594,3927,3927.0,27,9,5,5,45,25,0,0,0,0,25,0.0,0.0,0.0,102
0.023658275604248047,0.004759311676025391,39466,48700.0,1,1,937,932,932,932,668,254,6,4,0,9234.0,0.015391693086239486,0.23397354685045355,2802
0.01952958106994629,0.0006999969482421875,150659,150732.0,1,1,17,17,17,17,1,5,8,3,0,73.0,0.00012168005147232862,0.0004845379300274129,52
