runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.09514284133911133,1590122,1658938.0,1,1,8257,289,289,289,240,28,18,3,0,68816.0,0.005735624515960832,0.04327718250549329,8836
0.019705533981323242,763137,773369.0,7,7,17,17,119,71,21,21,8,21,0,10232.0,0.0008528090857839926,0.0134078153726002,214
0.053514957427978516,1884390,1941018.0,1,1,8257,234,234,234,210,7,12,5,0,56628.0,0.004719788204630173,0.030051104070813368,8726
0.30730700492858887,104287,1132228.0,1,1,117803,16478,16478,5714,1301,3547,802,64,0,1027941.0,0.08567605790166957,9.856846970379816,139996
0.001981496810913086,427601,430390.0,1,1,17,17,17,17,6,4,3,4,0,2789.0,0.00023245548673295107,0.006522435635089721,52
0.06548357009887695,310283,1153178.0,1,1,20942,4200,4200,4075,1672,2357,30,16,0,842895.0,0.07025298224803542,2.716536194377391,29218
0.2864365577697754,728180,4025449.0,1,1,117709,16073,16073,16073,7279,7268,1475,51,0,3297269.0,0.2748183113246579,4.528096075146255,149856
0.013629674911499023,269107,294162.0,7,7,2065,37,259,184,0,98,77,9,0,25055.0,0.002088265406989634,0.09310422991598137,2515
0.024306058883666992,2667479,2928959.0,1,1,5401,1092,1092,1092,885,154,44,9,0,261480.0,0.021793639537802813,0.0980251390920041,7586
0.0015821456909179688,2995324,2998318.0,1,1,17,17,17,17,6,4,3,4,0,2994.0,0.0002495416734594677,0.0009995579777012436,52
0.003240346908569336,2924489,2931012.0,1,1,42,42,42,42,16,4,15,6,1,6523.0,0.0005436741269125278,0.002230475135998118,127
0.0010881423950195312,78345,78345.0,27,9,5,5,45,28,0,0,0,0,28,0.0,0.0,0.0,105
0.009749174118041992,781263,999538.0,1,1,937,937,937,937,673,254,6,4,0,218275.0,0.01819262150112402,0.2793873509944795,2812
0.001714944839477539,2995150,2997312.0,1,1,17,17,17,17,1,5,8,3,0,2162.0,0.00018019675952550744,0.0007218336310368429,52
0.011960029602050781,2488795,2494007.0,1,1,2065,41,41,41,0,21,15,5,0,5212.0,0.00043440587911514555,0.0020941861422897425,2148
0.4590151309967041,303673,2474478.0,7,7,122719,15394,107758,12645,3539,5065,3565,476,0,2170805.0,0.1809306320822244,7.148495256410679,243129
0.022532224655151367,1810551,1841062.0,1,1,5401,140,140,140,90,35,12,3,0,30511.0,0.0025430080156719505,0.016851776061541486,5682
0.06291627883911133,1191141,2552282.0,1,1,21124,5815,5815,5815,4289,1499,10,17,0,1361141.0,0.11344736237618348,1.1427202992760723,32755
0.0009074211120605469,222850,223474.0,3,1,4,4,4,4,1,2,0,1,0,624.0,5.200868545047023e-05,0.002800089746466233,15
0.002597808837890625,418637,424054.0,1,1,33,33,33,33,16,4,5,7,1,5417.0,0.0004514920658416622,0.012939611166714838,100
0.03760170936584473,330052,292977.0,1,1,450,108,108,108,0,0,0,108,0,37075.0,0.0030900993799297814,0.11233078424005914,667
0.020967721939086914,2369061,2537348.0,1,1,4945,714,714,714,586,42,80,6,0,168287.0,0.01402625905192834,0.07103531736835818,6374
0.05159473419189453,1826472,2884677.0,1,1,17857,4234,4234,4234,3984,62,171,17,0,1058205.0,0.08819847914601739,0.5793710497615074,26326
0.023988723754882812,228992,458642.0,1,1,5401,1033,1033,944,810,110,18,6,0,229650.0,0.019140696496314884,1.0028734628283957,7379
0.010945320129394531,1555695,1585413.0,1,1,1969,186,186,186,0,170,10,6,0,29718.0,0.0024769136445786447,0.01910271614937375,2342
0.2853055000305176,729259,3884579.0,1,1,116112,15153,15153,15153,6991,7273,825,64,0,3155320.0,0.26298725220445146,4.326748110067891,146419
0.0007829666137695312,868016,868016.0,1,1,5,5,5,4,0,0,0,0,4,0.0,0.0,0.0,15
0.05801105499267578,729025,1296267.0,1,1,22500,2911,2911,2911,1464,579,800,68,0,567242.0,0.04727806210303787,0.7780830561366209,28323
0.0013000965118408203,429282,429977.0,1,1,9,9,9,9,1,0,4,4,0,695.0,5.7926340365507704e-05,0.0016189823938576506,28
0.04806184768676758,650179,696051.0,1,1,425,221,221,221,0,0,0,221,0,45872.0,0.0038233051586281574,0.07055287851499356,868
0.00146484375,2999267,3000723.0,1,1,13,13,13,13,1,5,3,4,0,1456.0,0.00012135359938443053,0.00048545194542533223,40
